time,Sun_x,Sun_y,Mercury_x,Mercury_y,Venus_x,Venus_y,Earth_x,Earth_y,Mars_x,Mars_y
0.000000e+00,0.000000e+00,0.000000e+00,5.790000e+10,0.000000e+00,1.082000e+11,0.000000e+00,1.496000e+11,0.000000e+00,2.279000e+11,0.000000e+00
2.102667e+05,1.169806e+03,0.000000e+00,5.702463e+10,9.958229e+09,1.079493e+11,7.363539e+09,1.494689e+11,6.261741e+09,2.278435e+11,5.062591e+09
4.205333e+05,4.675356e+03,8.350671e+01,5.441120e+10,1.976581e+10,1.071979e+11,1.471002e+10,1.490756e+11,1.251799e+10,2.276740e+11,1.012393e+10
6.308000e+05,1.050089e+04,4.170339e+02,5.011202e+10,2.912374e+10,1.059481e+11,2.200536e+10,1.484206e+11,1.875779e+10,2.273916e+11,1.518150e+10
8.410667e+05,1.861435e+04,1.164856e+03,4.423454e+10,3.774375e+10,1.042046e+11,2.921566e+10,1.475049e+11,2.497017e+10,2.269963e+11,2.023279e+10
1.051333e+06,2.896736e+04,2.486339e+03,3.694158e+10,4.536147e+10,1.019745e+11,3.630735e+10,1.463298e+11,3.114422e+10,2.264884e+11,2.527531e+10
1.261600e+06,4.149587e+04,4.533041e+03,2.844692e+10,5.175096e+10,9.926712e+10,4.324739e+10,1.448972e+11,3.726910e+10,2.258680e+11,3.030654e+10
1.471867e+06,5.612192e+04,7.445976e+03,1.900544e+10,5.673812e+10,9.609436e+10,5.000345e+10,1.432093e+11,4.333402e+10,2.251355e+11,3.532400e+10
1.682133e+06,7.275616e+04,1.135345e+04,8.898264e+09,6.021066e+10,9.247030e+10,5.654410e+10,1.412691e+11,4.932833e+10,2.242911e+11,4.032517e+10
1.892400e+06,9.130090e+04,1.636981e+04,-1.585050e+09,6.212235e+10,8.841128e+10,6.283899e+10,1.390796e+11,5.524146e+10,2.233353e+11,4.530760e+10
2.102667e+06,1.116534e+05,2.259533e+04,-1.216479e+10,6.249069e+10,8.393584e+10,6.885906e+10,1.366445e+11,6.106301e+10,2.222685e+11,5.026878e+10
2.312933e+06,1.337086e+05,3.011703e+04,-2.258679e+10,6.138865e+10,7.906462e+10,7.457671e+10,1.339681e+11,6.678273e+10,2.210912e+11,5.520627e+10
2.523200e+06,1.573615e+05,3.901026e+04,-3.263361e+10,5.893222e+10,7.382019e+10,7.996599e+10,1.310548e+11,7.239058e+10,2.198039e+11,6.011760e+10
2.733467e+06,1.825080e+05,4.934051e+04,-4.213032e+10,5.526638e+10,6.822699e+10,8.500275e+10,1.279098e+11,7.787671e+10,2.184073e+11,6.500033e+10
2.943733e+06,2.090462e+05,6.116523e+04,-5.094536e+10,5.055155e+10,6.231110e+10,8.966481e+10,1.245383e+11,8.323148e+10,2.169020e+11,6.985204e+10
3.154000e+06,2.368756e+05,7.453530e+04,-5.898757e+10,4.495217e+10,5.610014e+10,9.393211e+10,1.209464e+11,8.844552e+10,2.152888e+11,7.467029e+10
3.364267e+06,2.658972e+05,8.949607e+04,-6.620101e+10,3.862811e+10,4.962301e+10,9.778680e+10,1.171401e+11,9.350973e+10,2.135684e+11,7.945271e+10
3.574533e+06,2.960128e+05,1.060880e+05,-7.255862e+10,3.172891e+10,4.290975e+10,1.012134e+11,1.131263e+11,9.841529e+10,2.117415e+11,8.419690e+10
3.784800e+06,3.271245e+05,1.243471e+05,-7.805604e+10,2.439048e+10,3.599127e+10,1.041988e+11,1.089119e+11,1.031537e+11,2.098092e+11,8.890049e+10
3.995067e+06,3.591346e+05,1.443045e+05,-8.270590e+10,1.673370e+10,2.889917e+10,1.067324e+11,1.045044e+11,1.077167e+11,2.077724e+11,9.356116e+10
4.205333e+06,3.919453e+05,1.659871e+05,-8.653295e+10,8.864320e+09,2.166551e+10,1.088060e+11,9.991141e+10,1.120966e+11,2.056319e+11,9.817657e+10
4.415600e+06,4.254582e+05,1.894165e+05,-8.957023e+10,8.736827e+08,1.432257e+10,1.104142e+11,9.514112e+10,1.162858e+11,2.033890e+11,1.027444e+11
4.625867e+06,4.595753e+05,2.146095e+05,-9.185595e+10,-7.160043e+09,6.902613e+09,1.115537e+11,9.020191e+10,1.202772e+11,2.010445e+11,1.072624e+11
4.836133e+06,4.941983e+05,2.415776e+05,-9.343130e+10,-1.517047e+10,-5.622991e+08,1.122240e+11,8.510249e+10,1.240641e+11,1.985998e+11,1.117284e+11
5.046400e+06,5.292296e+05,2.703269e+05,-9.433868e+10,-2.310153e+10,-8.040548e+09,1.124269e+11,7.985182e+10,1.276402e+11,1.960559e+11,1.161400e+11
5.256667e+06,5.645722e+05,3.008579e+05,-9.462060e+10,-3.090611e+10,-1.550115e+10,1.121663e+11,7.445915e+10,1.309997e+11,1.934142e+11,1.204951e+11
5.466933e+06,6.001303e+05,3.331658e+05,-9.431884e+10,-3.854473e+10,-2.291393e+10,1.114486e+11,6.893395e+10,1.341370e+11,1.906758e+11,1.247915e+11
5.677200e+06,6.358098e+05,3.672405e+05,-9.347387e+10,-4.598446e+10,-3.024972e+10,1.102821e+11,6.328591e+10,1.370472e+11,1.878422e+11,1.290271e+11
5.887467e+06,6.715184e+05,4.030665e+05,-9.212460e+10,-5.319789e+10,-3.748050e+10,1.086772e+11,5.752490e+10,1.397258e+11,1.849148e+11,1.331997e+11
6.097733e+06,7.071661e+05,4.406235e+05,-9.030812e+10,-6.016228e+10,-4.457951e+10,1.066459e+11,5.166096e+10,1.421685e+11,1.818949e+11,1.373073e+11
6.308000e+06,7.426657e+05,4.798861e+05,-8.805968e+10,-6.685882e+10,-5.152141e+10,1.042021e+11,4.570429e+10,1.443719e+11,1.787841e+11,1.413479e+11
6.518267e+06,7.779328e+05,5.208246e+05,-8.541263e+10,-7.327202e+10,-5.828233e+10,1.013609e+11,3.966520e+10,1.463327e+11,1.755838e+11,1.453194e+11
